[2026-03-01--16-10-01 INFO actix_server::builder] starting 5 workers
[2026-03-01--16-10-01 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-03-01--16-10-01 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-03-01--16-10-19 INFO actix_server::server] SIGINT received; starting forced shutdown
[2026-03-01--16-10-19 INFO actix_server::accept] accept thread stopped
[2026-03-01--16-10-19 INFO actix_server::worker] shutting down idle worker
[2026-03-01--16-10-19 INFO actix_server::worker] shutting down idle worker
[2026-03-01--16-10-19 INFO actix_server::worker] shutting down idle worker
[2026-03-01--16-10-19 INFO actix_server::worker] shutting down idle worker
[2026-03-01--16-10-19 INFO actix_server::worker] shutting down idle worker
[2026-03-01--16-10-21 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-03-01--16-11-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36400.
[2026-03-01--16-11-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36406.
[2026-03-01--16-11-17 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-17 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-17 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-17 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-18 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-18 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-18 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-18 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-18 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-18 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-18 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-18 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-18 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-18 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-19 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-19 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-19 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-19 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-19 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-19 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-19 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-19 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-19 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-19 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-20 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-20 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-20 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-20 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-20 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-20 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-20 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-20 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
[2026-03-01--16-11-20 ERROR litesvm] Program account DE4Q3C4boDBeMobfbaSxETX9EmW4984HbZP9rKfDbMPQ is not executable.
